"reviews"	Translation	Positive	Negative	EmotionRationale
"139" "I used to enjoy this free app for simple tracking of rain fall. Now, without warning, they have changed subscription levels for the people that have helped them build and design this app, and are charging at least  120 per year for access to data which was free a month ago. User beware, their greediness has taken over, and it's sure to only get worse. I will be finding another platform to track data on my own property"	"139" "I used to enjoy this free ap for simple tracking of rain fall.<br> Now, without warning, they have changed subscription levels for the people that have helped them build and design this ap, and are charging at least  120 per year for access to data which was free a month ago.<br> User beware, their greediness has taken over, and it's sure to only get worse.<br> I will be finding another platform to track data on my own property"	3	-3	 "139[0] I[0] used[0] to[0] enjoy[2] this[0] free[0] app/ap[0] for[0] simple[0] tracking[0] of[0] rain[0] fall[0] [[Sentence=-1,3=word max, 1-5]] Now[0] without[0] warning[0] they[0] have[0] changed[0] subscription[0] levels[0] for[0] the[0] people[0] that[0] have[0] helped[0] them[0] build[0] and[0] design[0] this[0] app/ap[0] and[0] are[0] charging[0] at[0] least[0] 120[0] per[0] year[0] for[0] access[0] to[0] data[0] which[0] was[0] free[0] a[0] month[0] ago[0] [[Sentence=-1,1=word max, 1-5]] User[0] beware[-1] their[0] greediness[-2] has[0] taken[0] over[0] and[0] it's[0] sure[0] to[0] only[0] get[0] worse[-2] [[Sentence=-3,1=word max, 1-5]] I[0] will[0] be[0] finding[0] another[0] platform[0] to[0] track[0] data[0] on[0] my[0] own[0] property[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
"140" "I found this app handy until I would have to pay  29/ month, so will be uninstalling. All i used was the rainfall tracking ( free information online) and logging activities (digital notepad or calendar would do). This app made it easy but Im not spending  29 a month or any amount for free information and a simple record of history."	"140" "I found this ap handy until I would have to pay  29/ month, so will be uninstalling.<br> All i used was the rainfall tracking ( free information online) and logging activities (digital notepad or calendar would do)<br> This ap made it easy but Im not spending  29 a month or any amount for free information and a simple record of history.	1	-1	 "140[0] I[0] found[0] this[0] app/ap[0] handy[0] until[0] I[0] would[0] have[0] to[0] pay[0] 29/[0] month[0] so[0] will[0] be[0] uninstalling[0] [[Sentence=-1,1=word max, 1-5]] All[0] i[0] used[0] was[0] the[0] rainfall[0] tracking[0] free[0] information[0] online[0] and[0] logging[0] activities[0] digital[0] notepad[0] or[0] calendar[0] would[0] do[0] [[Sentence=-1,1=word max, 1-5]] This[0] app/ap[0] made[0] it[0] easy[0] but[0] Im[0] not[0] spending[0] 29[0] a[0] month[0] or[0] any[0] amount[0] for[0] free[0] information[0] and[0] a[0] simple[0] record[0] of[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"141" "after last update, app won't open properly. It just keeps flashing across the screen of my Google pixel. I had to cancel my subscription because they jacked the price way up, and the free app is worthless. I will now be uninstalling this app and subscribing to FBN where you get so much more for your money."	"141" "after last update, ap won't open properly.<br> It just keeps flashing across the screen of my Google pixel.<br> I had to cancel my subscription because they jacked the price way up, and the free ap is worthless.<br> I will now be uninstalling this ap and subscribing to FBN where you get so much more for your money.	1	-3	 "141[0] after[0] last[0] update[0] app/ap[0] won't[0] open[0] properly[0] [[Sentence=-1,1=word max, 1-5]] It[0] just[0] keeps[0] flashing[0] across[0] the[0] screen[0] of[0] my[0] Google[0] pixel[0] [[Sentence=-1,1=word max, 1-5]] I[0] had[0] to[0] cancel[-1] my[0] subscription[0] because[0] they[0] jacked[0] the[0] price[0] way[0] up[0] and[0] the[0] free[0] app/ap[0] is[0] worthless[-2] [[Sentence=-3,1=word max, 1-5]] I[0] will[0] now[0] be[0] uninstalling[0] this[0] app/ap[0] and[0] subscribing[0] to[0] FBN[0] where[0] you[0] get[0] so[0] much[0] more[0] for[0] your[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
"142" "Such a helpful and handy app. The company I work for uses it daily. We just upgraded to complete and having some app crashing issues but the support team is exceptional at helping with everything! Definitely recommend!"	"142" "Such a helpful and handy ap.<br> The company I work for uses it daily.<br> We just upgraded to complete and having some ap crashing issues but the support team is exceptional at helping with everything!<br> Definitely recommend!	2	-1	 "142[0] Such[0] a[0] helpful[1] and[0] handy[0] app/ap[0] [[Sentence=-1,2=word max, 1-5]] The[0] company[0] I[0] work[0] for[0] uses[0] it[0] daily[0] [[Sentence=-1,1=word max, 1-5]] We[0] just[0] upgraded[0] to[0] complete[0] and[0] having[0] some[0] app/ap[0] crashing[0] issues[0] but[0] the[0] support[1] team[0] is[0] exceptional[0] at[0] helping[0] with[0] everything[0] [[Sentence=-1,2=word max, 1-5]] Definitely[0] recommend[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"143" "Our operation transitioned from multiple notebooks and spreadsheets to FarmLogs in 2017.  I love it.  Access to details any time.   The mobile app fits our hired help.  I prefer the web version.  We rely heavily on the activities.  Acreage reporting is a breeze now.  Product totals calculated from the rates and acres makes a good check against what we paid for. I'd suggest FL tweak the SprayLog report to meet Dicamba record requirements. That would be huge. Thanks for the excellent cust service!"	"143" "Our operation transitioned from multiple notebooks and spreadsheets to FarmLogs in 2017.<br>  I love it.<br>  Access to details any time.<br>   The mobile ap fits our hired help.<br>  I prefer the web version.<br>  We rely heavily on the activities.<br>  Acreage reporting is a breeze now.<br>  Product totals calculated from the rates and acres makes a good check against what we paid for.<br> I'd suggest FL tweak the SprayLog report to meet Dicamba record requirements.<br> That would be huge.<br> Thanks for the excellent cust service!	4	-2	 "143[0] Our[0] operation[0] transitioned[0] from[0] multiple[0] notebooks[0] and[0] spreadsheets[0] to[0] FarmLogs[0] in[0] 2017[0] [[Sentence=-1,1=word max, 1-5]] I[0] love[2] it[0] [[Sentence=-1,3=word max, 1-5]] Access[0] to[0] details[0] any[0] time[0] [[Sentence=-1,1=word max, 1-5]] The[0] mobile[0] app/ap[0] fits[0] our[0] hired[0] help[0] [[Sentence=-1,1=word max, 1-5]] I[0] prefer[0] the[0] web[0] version[0] [[Sentence=-1,1=word max, 1-5]] We[0] rely[0] heavily[0] on[0] the[0] activities[0] [[Sentence=-1,1=word max, 1-5]] Acreage[0] reporting[0] is[0] a[0] breeze[0] now[0] [[Sentence=-1,1=word max, 1-5]] Product[0] totals[0] calculated[0] from[0] the[0] rates[0] and[0] acres[0] makes[0] a[0] good[1] check[0] against[-1] what[0] we[0] paid[0] for[0] [[Sentence=-2,2=word max, 1-5]] I'd[0] suggest[0] FL[0] tweak[0] the[0] SprayLog[0] report[0] to[0] meet[0] Dicamba[0] record[0] requirements[0] [[Sentence=-1,1=word max, 1-5]] That[0] would[0] be[0] huge[0] [[Sentence=-1,1=word max, 1-5]] Thanks[1] for[0] the[0] excellent[3] cust[0] service[0] [[Sentence=-1,4=word max, 1-5]][[[4,-2 max of sentences]]]
"144" "The app is good and easy to use, a little disappointed about the high cost of the new subscription coming at a time where funds are already short on the farm. Also need to add livestock"	"144" "The ap is good and easy to use, a little disappointed about the high cost of the new subscription coming at a time where funds are already short on the farm.<br> Also need to add livestock"	2	-2	 "144[0] The[0] app/ap[0] is[0] good[1] and[0] easy[0] to[0] use[0] a[0] little[0] disappointed[-1] about[0] the[0] high[0] cost[0] of[0] the[0] new[0] subscription[0] coming[0] at[0] a[0] time[0] where[0] funds[0] are[0] already[0] short[0] on[0] the[0] farm[0] [[Sentence=-2,2=word max, 1-5]] Also[0] need[0] to[0] add[0] livestock[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
"145" "Too much money for what it offers. Missing a lot of chemicals in their application part, missing some very common fertilizers in our area, and have way more marketing garbage than a fellow ever needs. I wish I could find a app that would just let me track what I have done in each field."	"145" "Too much money for what it offers.<br> Missing a lot of chemicals in their application part, missing some very common fertilizers in our area, and have way more marketing garbage than a fellow ever needs.<br> I wish I could find a ap that would just let me track what I have done in each field.	1	-3	 "145[0] Too[0] much[0] money[0] for[0] what[0] it[0] offers[0] [[Sentence=-1,1=word max, 1-5]] Missing[0] a[0] lot[0] of[0] chemicals[0] in[0] their[0] application[0] part[0] missing[0] some[0] very[0] common[0] fertilizers[0] in[0] our[0] area[0] and[0] have[0] way[0] more[0] marketing[0] garbage[-2] than[0] a[0] fellow[0] ever[0] needs[0] [[Sentence=-3,1=word max, 1-5]] I[0] wish[0] I[0] could[0] find[0] a[0] app/ap[0] that[0] would[0] just[0] let[0] me[0] track[0] what[0] I[0] have[0] done[0] in[0] each[0] field[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
"146" "There is no cumulative function when tracking rainfall. Every new alert for rainfall changes all previous alerts to the most current alert, very awkward to track cumulative totals without writing them down, really?"	"146" "There is no cumulative function when tracking rainfall.<br> Every new alert for rainfall changes all previous alerts to the most current alert, very awkward to track cumulative totals without writing them down, really?	1	-3	 "146[0] There[0] is[0] no[0] cumulative[0] function[0] when[0] tracking[0] rainfall[0] [[Sentence=-1,1=word max, 1-5]] Every[0] new[0] alert[0] for[0] rainfall[0] changes[0] all[0] previous[0] alerts[0] to[0] the[0] most[0] current[0] alert[0] very[0] awkward[-1][-1 LastWordBoosterStrength] to[0] track[0] cumulative[0] totals[0] without[0] writing[0] them[0] down[0] really[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
"147" "The free version is somewhat helpful but the cheapest paid plan being  65/month is ridiculous! It does not come close to being worth that much money for what you get."	"147" "The free version is somewhat helpful but the cheapest paid plan being  65/month is ridiculous!<br> It does not come close to being worth that much money for what you get.	2	-3	 "147[0] The[0] free[0] version[0] is[0] somewhat[0] helpful[1] but[0] the[0] cheapest[-1] paid[0] plan[0] being[0] 65/month[0] is[0] ridiculous[-2] [[Sentence=-3,2=word max, 1-5]] It[0] does[0] not[0] come[0] close[0] to[0] being[0] worth[0] that[0] much[0] money[0] for[0] what[0] you[0] get[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
"148" "I use this app to track rainfall on the food plots we plant on our hunting property. Rainfall accuracy was only so-so compared to our rain gauge but at least the app showed you rainfall history. Now they're charging  29 per month for that - NFW! The free Lite version of this app is worthless, there is nothing in it. Goodbye FarmLogs!!!!"	"148" "I use this ap to track rainfall on the food plots we plant on our hunting property.<br> Rainfall accuracy was only so-so compared to our rain gauge but at least the ap showed you rainfall history.<br> Now they're charging  29 per month for that - NFW!<br> The free Lite version of this ap is worthless, there is nothing in it.<br> Goodbye FarmLogs!	2	-3	 "148[0] I[0] use[0] this[0] app/ap[0] to[0] track[0] rainfall[0] on[0] the[0] food[0] plots[0] we[0] plant[0] on[0] our[0] hunting[0] property[0] [[Sentence=-1,1=word max, 1-5]] Rainfall[0] accuracy[0] was[0] only[0] so[0] so[0] compared[0] to[0] our[0] rain[0] gauge[0] but[0] at[0] least[0] the[0] app/ap[0] showed[0] you[0] rainfall[0] history[0] [[Sentence=-1,1=word max, 1-5]] Now[0] they're[0] charging[0] 29[0] per[0] month[0] for[0] that[0] NFW[0] [[Sentence=-1,1=word max, 1-5]] The[0] free[0] Lite[0] version[0] of[0] this[0] app/ap[0] is[0] worthless[-2] there[0] is[0] nothing[0] in[0] it[0] [[Sentence=-3,1=word max, 1-5]] Goodbye[0] FarmLogs[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
"149" "Understanding nothing is free, but 29.99/month!? I was grateful to find this app for tracking heat and rainfall actuals on our new homestead-to-be, given we haven't even established any type of yard or garden/beds, we were eager to make the most of this app for our micro-scale of future mini homestead, but again   360/yr. is far to rich for us/our minisucle needs.  30/yr for rainfall&heat historical data w/ current actuals, sold. Consider small scale homesteader version for annual sub option"	"149" "Understanding nothing is free, but 29.99/month!<br> I was grateful to find this ap for tracking heat and rainfall actuals on our new homestead-to-be, given we haven't even established any type of yard or garden/beds, we were eager to make the most of this ap for our micro-scale of future mini homestead, but again   360/yr.<br> is far to rich for us/our minisucle needs.<br>  30/yr for rainfall&heat historical data w/ current actuals, sold.<br> Consider small scale homesteader version for annual sub option"	2	-1	 "149[0] Understanding[0] nothing[0] is[0] free[0] but[0] 29[0] .99/month[0] [[Sentence=-1,1=word max, 1-5]] I[0] was[0] grateful[1] to[0] find[0] this[0] app/ap[0] for[0] tracking[0] heat[0] and[0] rainfall[0] actuals[0] on[0] our[0] new[0] homestead[0] to[0] be[0] given[0] we[0] haven't[0] even[0] established[0] any[0] type[0] of[0] yard[0] or[0] garden/beds[0] we[0] were[0] eager[0] to[0] make[0] the[0] most[0] of[0] this[0] app/ap[0] for[0] our[0] micro[0] scale[0] of[0] future[0] mini[0] homestead[0] but[0] again[0] 360/yr[0] [[Sentence=-1,2=word max, 1-5]] is[0] far[0] to[0] rich[0] for[0] us/our[0] minisucle[0] needs[0] [[Sentence=-1,1=word max, 1-5]] 30/yr[0] for[0] rainfall&heat[0] historical[0] data[0] w/[0] current[0] actuals[0] sold[0] [[Sentence=-1,1=word max, 1-5]] Consider[0] small[0] scale[0] homesteader[0] version[0] for[0] annual[0] sub[0] option[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"150" "Pointless, used to be good to track rain(ish never was very accurate) and manually enter field work. Now wants to charge an exhorbant amount of money with no options other than a lot of money or an extreme amount of money, no matter how many acres you are trying to manage (5 acres or 5000 acres) if it were to charge you something more understandable like  0.01 per acre per month for usable field data it would possibly be debatable but currently no absolutely worthless application. 0/5  U 0001F31F "	"150" "Pointless, used to be good to track rain(ish never was very accurate) and manually enter field work.<br> Now wants to charge an exhorbant amount of money with no options other than a lot of money or an extreme amount of money, no matter how many acres you are trying to manage (5 acres or 500 acres) if it were to charge you something more understandable like  0.01 per acre per month for usable field data it would possibly be debatable but currently no absolutely worthless application.<br> 0/5  U 001F31F "	2	-4	 "150[0] Pointless[-1] used[0] to[0] be[0] good[1] to[0] track[0] rain[0] ish[0] never[0] was[0] very[0] accurate[0] and[0] manually[0] enter[0] field[0] work[0] [[Sentence=-2,2=word max, 1-5]] Now[0] wants[0] to[0] charge[-1] an[0] exhorbant[0] amount[0] of[0] money[0] with[0] no[0] options[0] other[0] than[0] a[0] lot[0] of[0] money[0] or[0] an[0] extreme[0] amount[0] of[0] money[0] no[0] matter[0] how[0] many[0] acres[0] you[0] are[0] trying[0] to[0] manage[0] (5[0] acres[0] or[0] 5000/500[0] acres[0] if[0] it[0] were[0] to[0] charge[-1] you[0] something[0] more[0] understandable[0] like[1] 0[0] .01[0] per[0] acre[0] per[0] month[0] for[0] usable[0] field[0] data[0] it[0] would[0] possibly[0] be[0] debatable[-1] but[0] currently[0] no[0] absolutely[0] worthless[-2][-1 LastWordBoosterStrength] application[0] [[Sentence=-4,2=word max, 1-5]] 0/5[0] U[0] 0001F31F/001F31F[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
"151" "Have a friend who swears by this app, but not what I need, and the LAST thing I'm gonna do is sign up for any \"free trial\" just to see more than how to draw a field! Not to mention there isn't even any home button to excape the freebie pitch page rabbit hole."	"151" "Have a friend who swears by this ap, but not what I need, and the LAST thing I'm gonna do is sign up for any \"free trial\" just to see more than how to draw a field!<br> Not to mention there isn't even any home button to excape the freebie pitch page rabbit hole.	2	-1	 "151[0] Have[0] a[0] friend[1] who[0] swears[0] by[0] this[0] app/ap[0] but[0] not[0] what[0] I[0] need[0] and[0] the[0] LAST[0] thing[0] I'm[0] gonna[0] do[0] is[0] sign[0] up[0] for[0] any[0] \[0] free[0] trial\[0] just[0] to[0] see[0] more[0] than[0] how[0] to[0] draw[0] a[0] field[0] [[Sentence=-1,2=word max, 1-5]] Not[0] to[0] mention[0] there[0] isn't[0] even[0] any[0] home[0] button[0] to[0] excape[0] the[0] freebie[0] pitch[0] page[0] rabbit[0] hole[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"152" "Great, multifunctional app that pairs nicely with the FarmLogs web platform. Easy to use with a nice clean format. Before the update I've really utilized the \"Products\" function to keep track of our farm input inventory. FarmLogs team is also very responsive to feedback in order to make their app fit your operation. It's true that pricing for this has changed, but if you price other programs with similar features, FarmLogs is still the value option."	"152" "Great, multifunctional ap that pairs nicely with the FarmLogs web platform.<br> Easy to use with a nice clean format.<br> Before the update I've really utilized the \"Products\" function to keep track of our farm input inventory.<br> FarmLogs team is also very responsive to feedback in order to make their ap fit your operation.<br> It's true that pricing for this has changed, but if you price other programs with similar features, FarmLogs is still the value option.	3	-1	 "152[0] Great[2] multifunctional[0] app/ap[0] that[0] pairs[0] nicely[1] with[0] the[0] FarmLogs[0] web[0] platform[0] [[Sentence=-1,3=word max, 1-5]] Easy[0] to[0] use[0] with[0] a[0] nice[1] clean[0] format[0] [[Sentence=-1,2=word max, 1-5]] Before[0] the[0] update[0] I've[0] really[0] utilized[0] the[0] \[0] Products\[0] function[0] to[0] keep[0] track[0] of[0] our[0] farm[0] input[0] inventory[0] [[Sentence=-1,1=word max, 1-5]] FarmLogs[0] team[0] is[0] also[0] very[0] responsive[0] to[0] feedback[0] in[0] order[0] to[0] make[0] their[0] app/ap[0] fit[0] your[0] operation[0] [[Sentence=-1,1=word max, 1-5]] It's[0] true[1] that[0] pricing[0] for[0] this[0] has[0] changed[0] but[0] if[0] you[0] price[0] other[0] programs[0] with[0] similar[0] features[0] FarmLogs[0] is[0] still[0] the[0] value[1] option[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"153" "WAS a wonderful app it did everything i wanted too. I have 2 years of data, and now you have to pay to use the most simple things!!! REALLY?!?!?!?! This is ridiculous!!! STAY AWAY. greedy developers!!!"	"153" "WAS a wonderful ap it did everything i wanted too.<br> I have 2 years of data, and now you have to pay to use the most simple things!<br> REALLY?<br> This is ridiculous!<br> STAY AWAY.<br> greedy developers!	3	-4	 "153[0] WAS[0] a[0] wonderful[2] app/ap[0] it[0] did[0] everything[0] i[0] wanted[0] too[0] [[Sentence=-1,3=word max, 1-5]] I[0] have[0] 2[0] years[0] of[0] data[0] and[0] now[0] you[0] have[0] to[0] pay[0] to[0] use[0] the[0] most[0] simple[0] things[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]] REALLY[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]] This[0] is[0] ridiculous[-2][-0.6 EmphasisInPunctuation] [[Sentence=-4,1=word max, 1-5]] STAY[0] AWAY[0] [[Sentence=-1,1=word max, 1-5]] greedy[-2] developers[0][+0.6 EmphasisInPunctuation] [[Sentence=-3,2=word max, 1-5]][[[3,-4 max of sentences]]]
"154" "The app is a bit finicky and stops now and again (hence 4 stars) but is a good companion to the web app. The support team was eager to help me out and persisted until my concerns had been meet."	"154" "The ap is a bit finicky and stops now and again (hence 4 stars) but is a good companion to the web ap.<br> The support team was eager to help me out and persisted until my concerns had been meet.	2	-2	 "154[0] The[0] app/ap[0] is[0] a[0] bit[0] finicky[0] and[0] stops[0] now[0] and[0] again[0] hence[0] 4[0] stars[0] but[0] is[0] a[0] good[1] companion[0] to[0] the[0] web[0] app/ap[0] [[Sentence=-1,2=word max, 1-5]] The[0] support[1] team[0] was[0] eager[0] to[0] help[0] me[0] out[0] and[0] persisted[0] until[0] my[0] concerns[-1] had[0] been[0] meet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
"155" "99  a month to manually record activities is ridiculous. Time to find something else that matches the cost/benefit better. Used to be a big fan of this but not for 99  a month"	"155" "99  a month to manually record activities is ridiculous.<br> Time to find something else that matches the cost/benefit better.<br> Used to be a big fan of this but not for 99  a month"	1	-3	 "155[0] "99[0] a[0] month[0] to[0] manually[0] record[0] activities[0] is[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]] Time[0] to[0] find[0] something[0] else[0] that[0] matches[0] the[0] cost/benefit[0] better[0] [[Sentence=-1,1=word max, 1-5]] Used[0] to[0] be[0] a[0] big[0] fan[0] of[0] this[0] but[0] not[0] for[0] 99[0] a[0] month[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
"156" "Was a great app but its useless now. Started charging for the rainfall history feature without any notice. I used this app and quit recording it by hand and now all is lost. WILL NOT recommend this app anymore. sorry"	"156" "Was a great ap but its useless now.<br> Started charging for the rainfall history feature without any notice.<br> I used this ap and quit recording it by hand and now all is lost.<br> WILL NOT recommend this ap anymore.<br> sorry"	3	-3	 "156[0] Was[0] a[0] great[2] app/ap[0] but[0] its[0] useless[-2] now[0] [[Sentence=-3,3=word max, 1-5]] Started[0] charging[0] for[0] the[0] rainfall[0] history[0] feature[0] without[0] any[0] notice[0] [[Sentence=-1,1=word max, 1-5]] I[0] used[0] this[0] app/ap[0] and[0] quit[-1] recording[0] it[0] by[0] hand[0] and[0] now[0] all[0] is[0] lost[0] [[Sentence=-2,1=word max, 1-5]] WILL[0] NOT[0] recommend[0] this[0] app/ap[0] anymore[0] [[Sentence=-1,1=word max, 1-5]] sorry[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-3 max of sentences]]]
"157" "This app was a nice app. Now they are just pure greedy. The owners just keep wanting more money for everything. This app is no longer worth having and I have stopped recommending it to my fellow farmers. The latest    grab is for rain and heat history.. I do not reccomend even trying this app."	"157" "This ap was a nice ap.<br> Now they are just pure greedy.<br> The owners just keep wanting more money for everything.<br> This ap is no longer worth having and I have stopped recommending it to my fellow farmers.<br> The latest    grab is for rain and heat history.<br> I do not reccomend even trying this ap.	2	-3	 "157[0] This[0] app/ap[0] was[0] a[0] nice[1] app/ap[0] [[Sentence=-1,2=word max, 1-5]] Now[0] they[0] are[0] just[0] pure[0] greedy[-2] [[Sentence=-3,1=word max, 1-5]] The[0] owners[0] just[0] keep[0] wanting[0] more[0] money[0] for[0] everything[0] [[Sentence=-1,1=word max, 1-5]] This[0] app/ap[0] is[0] no[0] longer[0] worth[0] having[0] and[0] I[0] have[0] stopped[0] recommending[0] it[0] to[0] my[0] fellow[0] farmers[0] [[Sentence=-1,1=word max, 1-5]] The[0] latest[0] grab[-1] is[0] for[0] rain[0] and[0] heat[0] history[0] [[Sentence=-2,1=word max, 1-5]] I[0] do[0] not[0] reccomend[0] even[0] trying[0] this[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
"158" "worked ok for a couple years. Now they want to charge an large sum for you to continue. Hence make comparing records from last year to this impossible. Probably a decent app for corn or beans, but I grow hops. It won't let me list my chemicals."	"158" "worked ok for a couple years.<br> Now they want to charge an large sum for you to continue.<br> Hence make comparing records from last year to this impossible.<br> Probably a decent ap for corn or beans, but I grow hops.<br> It won't let me list my chemicals.	1	-2	 "158[0] worked[0] ok[0] for[0] a[0] couple[0] years[0] [[Sentence=-1,1=word max, 1-5]] Now[0] they[0] want[0] to[0] charge[-1] an[0] large[0] sum[0] for[0] you[0] to[0] continue[0] [[Sentence=-2,1=word max, 1-5]] Hence[0] make[0] comparing[0] records[0] from[0] last[0] year[0] to[0] this[0] impossible[0] [[Sentence=-1,1=word max, 1-5]] Probably[0] a[0] decent[0] app/ap[0] for[0] corn[0] or[0] beans[0] but[0] I[0] grow[0] hops[0] [[Sentence=-1,1=word max, 1-5]] It[0] won't[0] let[0] me[0] list[0] my[0] chemicals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
"159" "Used to be a useful app to track activities and notes. Now you can't do much of anything without paying. Useless unless your a big farmer. Save your time and stay away"	"159" "Used to be a useful ap to track activities and notes.<br> Now you can't do much of anything without paying.<br> Useless unless your a big farmer.<br> Save your time and stay away"	2	-3	 "159[0] Used[0] to[0] be[0] a[0] useful[1] app/ap[0] to[0] track[0] activities[0] and[0] notes[0] [[Sentence=-1,2=word max, 1-5]] Now[0] you[0] can't[0] do[0] much[0] of[0] anything[0] without[0] paying[0] [[Sentence=-1,1=word max, 1-5]] Useless[-2] unless[0] your[0] a[0] big[0] farmer[0] [[Sentence=-3,1=word max, 1-5]] Save[1] your[0] time[0] and[0] stay[0] away[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
"160" "app once again has stopped working. go to open, and it locks down Samsung note 9. if your going to charge money for your app, atleast make sure its it's working."	"160" "ap once again has stopped working.<br> go to open, and it locks down Samsung note 9.<br> if your going to charge money for your ap, atleast make sure its it's working.	1	-2	 "160[0] app/ap[0] once[0] again[0] has[0] stopped[0] working[0] [[Sentence=-1,1=word max, 1-5]] go[0] to[0] open[0] and[0] it[0] locks[0] down[0] Samsung[0] note[0] 9[0] [[Sentence=-1,1=word max, 1-5]] if[0] your[0] going[0] to[0] charge[-1] money[0] for[0] your[0] app/ap[0] atleast[0] make[0] sure[0] its[0] it's[0] working[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"161" "This app. WAS pretty cool...now you have to pay for everything but the weather/rain. I can get that information a dozen other places...I gurss its time to STOP CLUTTERING UP MY PHONE WITH IT!!!!!"	"161" "This ap.<br> WAS pretty cool.<br>now you have to pay for everything but the weather/rain.<br> I can get that information a dozen other places.<br>I gurss its time to STOP CLUTTERING UP MY PHONE WITH IT!	3	-2	 "161[0] This[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] WAS[0] pretty[2] cool[1] [[Sentence=-1,3=word max, 1-5]] now[0] you[0] have[0] to[0] pay[0] for[0] everything[0] but[0] the[0] weather/rain[0] [[Sentence=-1,1=word max, 1-5]] I[0] can[0] get[0] that[0] information[0] a[0] dozen[0] other[0] places[0] [[Sentence=-1,1=word max, 1-5]] I[0] gurss[0] its[0] time[0] to[0] STOP[0] CLUTTERING[-1] UP[0] MY[0] PHONE[0] WITH[0] IT[0][+0.6 EmphasisInPunctuation] [[Sentence=-2,2=word max, 1-5]][[[3,-2 max of sentences]]]
"162" "Really liked the app at first. but lately their rainfall estimates are horrible and they made it so you need to subscribe in order to view rainfall charts."	"162" "Really liked the ap at first.<br> but lately their rainfall estimates are horrible and they made it so you need to subscribe in order to view rainfall charts.	4	-4	 "162[0] Really[0] liked[2][1 LastWordBoosterStrength] the[0] app/ap[0] at[0] first[0] [[Sentence=-1,4=word max, 1-5]] but[0] lately[0] their[0] rainfall[0] estimates[0] are[0] horrible[-3] and[0] they[0] made[0] it[0] so[0] you[0] need[0] to[0] subscribe[0] in[0] order[0] to[0] view[0] rainfall[0] charts[0] [[Sentence=-4,1=word max, 1-5]][[[4,-4 max of sentences]]]
"163" "This was an awesome app for rainfall and history of rainfall, but you all got greedy. so uninstalling. I can Google rainfall history for free."	"163" "This was an awesome ap for rainfall and history of rainfall, but you all got greedy.<br> so uninstalling.<br> I can Google rainfall history for free.	3	-3	 "163[0] This[0] was[0] an[0] awesome[2] app/ap[0] for[0] rainfall[0] and[0] history[0] of[0] rainfall[0] but[0] you[0] all[0] got[0] greedy[-2] [[Sentence=-3,3=word max, 1-5]] so[0] uninstalling[0] [[Sentence=-1,1=word max, 1-5]] I[0] can[0] Google[0] rainfall[0] history[0] for[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
"164" "Loved this app in the past but is useless now that we have to pay for it. I only used it to keep track of what we did and when we did it on fields and dont think it's worth it to pay  99 a month just for that."	"164" "Loved this ap in the past but is useless now that we have to pay for it.<br> I only used it to keep track of what we did and when we did it on fields and dont think it's worth it to pay  99 a month just for that.	4	-3	 "164[0] Loved[3] this[0] app/ap[0] in[0] the[0] past[0] but[0] is[0] useless[-2] now[0] that[0] we[0] have[0] to[0] pay[0] for[0] it[0] [[Sentence=-3,4=word max, 1-5]] I[0] only[0] used[0] it[0] to[0] keep[0] track[0] of[0] what[0] we[0] did[0] and[0] when[0] we[0] did[0] it[0] on[0] fields[0] and[0] dont[0] think[0] it's[0] worth[0] it[0] to[0] pay[0] 99[0] a[0] month[0] just[0] for[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[4,-3 max of sentences]]]
